dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,fp8,16,16384,68.224,0.239
bf16,fp8,16,32768,67.936,0.240
bf16,fp8,16,40960,67.424,0.242
bf16,fp8,16,65536,67.968,0.240
bf16,fp8,24,16384,84.128,0.291
bf16,fp8,24,32768,83.520,0.293
bf16,fp8,24,40960,85.184,0.287
bf16,fp8,24,65536,83.648,0.293
bf16,fp8,26,16384,83.840,0.316
bf16,fp8,26,32768,84.256,0.315
bf16,fp8,26,40960,83.296,0.318
bf16,fp8,26,65536,83.552,0.317
bf16,fp8,32,16384,91.104,0.358
bf16,fp8,32,32768,92.256,0.354
bf16,fp8,32,40960,91.392,0.357
bf16,fp8,32,65536,92.000,0.355
