batch_size,kv_len,compressed_kv_len,logits_latency_us,topk_latency_us,total_latency_us,logits_mfu
16,16384,4096,30.112,19.968,39.808,0.120
16,32768,8192,33.408,20.736,42.880,0.217
16,40960,10240,33.024,21.696,44.512,0.275
16,65536,16384,43.136,25.536,56.800,0.336
24,16384,4096,32.000,19.072,48.608,0.170
24,32768,8192,41.088,20.928,50.880,0.265
24,40960,10240,43.392,20.704,52.256,0.313
24,65536,16384,47.008,25.824,67.872,0.463
26,16384,4096,30.592,18.336,46.208,0.193
26,32768,8192,39.968,20.992,47.488,0.295
26,40960,10240,44.000,21.600,55.552,0.335
26,65536,16384,48.640,26.848,66.752,0.485
32,16384,4096,31.008,17.248,38.208,0.234
32,32768,8192,37.408,20.768,53.024,0.388
32,40960,10240,42.656,21.888,56.480,0.425
32,65536,16384,53.344,23.648,69.152,0.544
