num_experts,num_gpus,num_local_experts,topk,hidden_size,intermediate_size,batch_size_per_gpu,tokens_per_expert,up_proj_us,up_mfu,down_proj_us,down_mfu,total_latency_us,total_mfu,kernel_kind,backend,activation_dtype,weight_dtype,mfu_peak_tflops,tp_size,ep_size,tune_max_num_tokens,execution_mode,active_experts,max_tokens_per_expert,routing_mode,swiglu_limit
96,1,96,8,2048,1560,16,1,166.63,0.011,98.115,0.010,,,,,,,,,,,,,,,
96,1,96,8,2048,1560,32,3,350.09,0.031,187.860,0.031,,,,,,,,,,,,,,,
96,1,96,8,2048,1560,64,5,350.806,0.057,188.355,0.055,,,,,,,,,,,,,,,
96,1,96,8,2048,1560,128,11,350.354,0.135,188.479,0.119,,,,,,,,,,,,,,,
96,1,96,8,2048,1560,256,21,350.001,0.263,188.455,0.237,,,,,,,,,,,,,,,
96,1,96,8,2048,1560,512,43,350.051,0.543,188.769,0.484,,,,,,,,,,,,,,,
96,4,24,8,2048,1560,16,5,97.464,0.050,51.624,0.044,,,,,,,,,,,,,,,
96,4,24,8,2048,1560,32,11,97.428,0.121,51.754,0.113,,,,,,,,,,,,,,,
96,4,24,8,2048,1560,64,21,97.302,0.231,51.657,0.222,,,,,,,,,,,,,,,
96,4,24,8,2048,1560,128,43,97.673,0.476,51.685,0.447,,,,,,,,,,,,,,,
96,4,24,8,2048,1560,256,85,176.898,0.522,88.611,0.529,,,,,,,,,,,,,,,
96,4,24,8,2048,1560,512,171,317.925,0.578,165.910,0.587,,,,,,,,,,,,,,,
96,8,12,8,2048,1560,16,11,47.327,0.116,28.718,0.098,,,,,,,,,,,,,,,
96,8,12,8,2048,1560,32,21,47.322,0.254,28.643,0.216,,,,,,,,,,,,,,,
96,8,12,8,2048,1560,64,43,47.232,0.460,28.648,0.406,,,,,,,,,,,,,,,
96,8,12,8,2048,1560,128,85,86.247,0.540,46.945,0.480,,,,,,,,,,,,,,,
96,8,12,8,2048,1560,256,171,161.335,0.627,90.435,0.531,,,,,,,,,,,,,,,
96,8,12,8,2048,1560,512,341,312.978,0.591,163.153,0.611,,,,,,,,,,,,,,,
96,16,6,8,2048,1560,16,21,25.975,0.215,16.014,0.194,,,,,,,,,,,,,,,
96,16,6,8,2048,1560,32,43,26.098,0.425,16.031,0.409,,,,,,,,,,,,,,,
96,16,6,8,2048,1560,64,85,46.274,0.529,26.012,0.436,,,,,,,,,,,,,,,
96,16,6,8,2048,1560,128,171,83.306,0.600,45.706,0.522,,,,,,,,,,,,,,,
96,16,6,8,2048,1560,256,341,158.608,0.533,65.600,0.641,,,,,,,,,,,,,,,
