num_experts,num_gpus,num_local_experts,topk,hidden_size,intermediate_size,seq_len_per_gpu,tokens_per_expert,up_proj_us,up_mfu,down_proj_us,down_mfu
96,1,96,8,2048,1560,1024,85,637.06,0.618,332.791,0.545
96,1,96,8,2048,1560,4096,341,1938,0.772,1029.000,0.731
96,1,96,8,2048,1560,8192,683,3681,0.842,1834.000,0.803
96,1,96,8,2048,1560,16384,1365,6828,0.872,3520.000,0.840
96,1,96,8,2048,1560,32768,2731,13458,0.892,6877.000,0.857
96,4,24,8,2048,1560,1024,341,524.547,0.758,287.183,0.689
96,4,24,8,2048,1560,4096,1365,1804,0.860,950.386,0.835
96,4,24,8,2048,1560,8192,2731,3534,0.889,1713.000,0.849
96,4,24,8,2048,1560,16384,5461,6655,0.897,3411.000,0.869
96,4,24,8,2048,1560,32768,10923,13154,0.906,6632.000,0.875
96,8,12,8,2048,1560,1024,683,462.712,0.828,246.416,0.745
96,8,12,8,2048,1560,4096,2731,1732,0.877,849.363,0.849
96,8,12,8,2048,1560,8192,5461,3343,0.897,1674.000,0.863
96,8,12,8,2048,1560,16384,10923,6559,0.904,3495.000,0.871
96,8,12,8,2048,1560,32768,21845,13724,0.909,7078.000,0.878
96,16,6,8,2048,1560,1024,1365,460.969,0.815,246.003,0.769
96,16,6,8,2048,1560,4096,5461,1544,0.888,909.514,0.858
96,16,6,8,2048,1560,8192,10923,3126,0.898,1858.000,0.873
96,16,6,8,2048,1560,16384,21845,7233,0.907,3771.000,0.878
96,16,6,8,2048,1560,32768,43691,15455,0.910,7018.000,0.881
96,24,4,8,2048,1560,1024,2048,486.773,0.874,246.113,0.821
96,24,4,8,2048,1560,4096,8192,1642,0.890,948.291,0.857
96,24,4,8,2048,1560,8192,16384,3154,0.903,1848.000,0.870
96,24,4,8,2048,1560,16384,32768,6973,0.908,3829.000,0.879
96,24,4,8,2048,1560,32768,65536,13688,0.910,6096.000,0.882
112,1,112,6,2560,1664,1024,55,716.613,0.513,350.547,0.493
112,1,112,6,2560,1664,4096,219,1964,0.710,1046.000,0.674
112,1,112,6,2560,1664,8192,439,3518,0.802,1787.000,0.784
112,1,112,6,2560,1664,16384,878,6426,0.862,3354.000,0.835
112,1,112,6,2560,1664,32768,1755,12843,0.890,6622.000,0.866
112,4,28,6,2560,1664,1024,219,507.591,0.702,266.649,0.641
112,4,28,6,2560,1664,4096,878,1634,0.832,847.327,0.821
112,4,28,6,2560,1664,8192,1755,3164,0.892,1649.000,0.859
112,4,28,6,2560,1664,16384,3511,6227,0.904,3210.000,0.878
112,4,28,6,2560,1664,32768,7022,13232,0.912,6653.000,0.887
112,8,14,6,2560,1664,1024,439,506.449,0.755,246.640,0.710
112,8,14,6,2560,1664,4096,1755,1584,0.881,787.013,0.843
112,8,14,6,2560,1664,8192,3511,3135,0.901,1570.000,0.873
112,8,14,6,2560,1664,16384,7022,6497,0.909,3233.000,0.885
112,8,14,6,2560,1664,32768,14043,12543,0.914,6115.000,0.891
112,16,7,6,2560,1664,1024,878,392.399,0.807,226.786,0.741
112,16,7,6,2560,1664,4096,3511,1644,0.892,867.806,0.872
112,16,7,6,2560,1664,8192,7022,3251,0.903,1566.000,0.872
112,16,7,6,2560,1664,16384,14043,6080,0.915,3046.000,0.889
112,16,7,6,2560,1664,32768,28087,12175,0.917,5934.000,0.894
160,1,160,6,5120,1664,1024,38,1343,0.526,742.787,0.461
160,1,160,6,5120,1664,4096,154,4377,0.654,2306.000,0.600
160,1,160,6,5120,1664,8192,307,7038,0.787,3722.000,0.750
160,1,160,6,5120,1664,16384,614,13712,0.846,6849.000,0.812
160,1,160,6,5120,1664,32768,1229,26054,0.891,13200.000,0.849
160,4,40,6,5120,1664,1024,154,1162,0.627,607.547,0.597
160,4,40,6,5120,1664,4096,614,3280,0.851,1729.000,0.806
160,4,40,6,5120,1664,8192,1229,6725,0.886,3340.000,0.844
160,4,40,6,5120,1664,16384,2458,12302,0.909,6434.000,0.871
160,4,40,6,5120,1664,32768,4915,25172,0.922,12760.000,0.883
160,8,20,6,5120,1664,1024,307,942.716,0.762,508.122,0.717
